"","P01288"
"ENSG00000000003",10.6616091206333
"ENSG00000000005",7.97454843229342
"ENSG00000000419",13.2834334897052
"ENSG00000000457",11.024179200018
"ENSG00000000460",8.61609446138095
"ENSG00000000938",9.43921669929687
"ENSG00000000971",13.9333911075367
"ENSG00000001036",13.5168064820603
"ENSG00000001084",12.6991987040264
"ENSG00000001167",10.0171927697019
"ENSG00000001460",9.48043936202338
"ENSG00000001461",11.5546939167168
"ENSG00000001497",12.6184046220681
"ENSG00000001561",12.2041363550341
"ENSG00000001617",12.8948417325044
"ENSG00000001626",4.91565474323986
"ENSG00000001629",11.1824412839348
"ENSG00000001631",10.9817439336976
"ENSG00000002016",10.0988765672956
"ENSG00000002330",14.0679395855464
"ENSG00000002549",14.2201962059302
"ENSG00000002587",8.18867323764627
"ENSG00000002726",8.68824424713678
"ENSG00000002822",11.71007060959
"ENSG00000002834",13.6033220274951
"ENSG00000002919",12.3447127128336
"ENSG00000002933",13.787046657627
"ENSG00000003056",12.4625492031275
"ENSG00000003096",10.7653204701554
"ENSG00000003137",8.28488855290557
"ENSG00000003147",13.5093570935252
"ENSG00000003249",9.8064256734851
"ENSG00000003393",12.7757070883871
"ENSG00000003400",11.0517914312259
"ENSG00000003402",15.6791437799258
"ENSG00000003436",12.6638475928293
"ENSG00000003509",12.6816314240651
"ENSG00000003756",14.5649109207572
"ENSG00000003987",3.3306922425187
"ENSG00000003989",13.2056735901725
"ENSG00000004059",14.5297510661717
"ENSG00000004139",10.9817439336976
"ENSG00000004142",15.4051682432532
"ENSG00000004399",14.4631919721472
"ENSG00000004455",14.86353515348
"ENSG00000004468",9.35306005554715
"ENSG00000004478",14.2247520887927
"ENSG00000004487",13.3007981331309
"ENSG00000004534",14.7616674151068
"ENSG00000004660",11.3250456793776
"ENSG00000004700",12.7715614101296
"ENSG00000004766",10.6253129914103
"ENSG00000004776",17.9769696762221
"ENSG00000004777",11.0922434749632
"ENSG00000004779",16.8251728575365
"ENSG00000004799",16.8801159509448
"ENSG00000004809",3.3306922425187
"ENSG00000004838",6.1380471645763
"ENSG00000004864",11.0922434749632
"ENSG00000004866",12.5081117805079
"ENSG00000004897",13.3122595244217
"ENSG00000004961",13.1933296000775
"ENSG00000004975",12.1476758657741
"ENSG00000005007",13.0432192429585
"ENSG00000005020",9.8064256734851
"ENSG00000005022",14.8664536205054
"ENSG00000005059",10.4075078395695
"ENSG00000005075",14.6327599150452
"ENSG00000005100",11.0922434749632
"ENSG00000005102",14.0713162870081
"ENSG00000005108",8.18867323764627
"ENSG00000005156",11.2555047461245
"ENSG00000005175",11.8023674569107
"ENSG00000005187",10.2010569621021
"ENSG00000005189",10.1251081088688
"ENSG00000005194",13.3764519039014
"ENSG00000005206",13.0084118841597
"ENSG00000005238",12.6772059756843
"ENSG00000005243",14.2368312387141
"ENSG00000005249",11.8737240627739
"ENSG00000005302",12.2102754921315
"ENSG00000005339",13.1651632925029
"ENSG00000005379",12.1087693720541
"ENSG00000005381",6.1380471645763
"ENSG00000005421",5.65262033740606
"ENSG00000005436",11.8424448962861
"ENSG00000005448",10.4287243254792
"ENSG00000005469",10.3641152440561
"ENSG00000005471",10.6616091206333
"ENSG00000005483",12.2102754921315
"ENSG00000005486",13.7517050982979
"ENSG00000005513",10.7653204701554
"ENSG00000005700",13.4968553251648
"ENSG00000005801",11.4855103515708
"ENSG00000005810",12.0345958159634
"ENSG00000005812",12.832529427421
"ENSG00000005844",9.55951093301458
"ENSG00000005882",15.5711854663955
"ENSG00000005884",12.3108318201579
"ENSG00000005889",11.8503284953619
"ENSG00000005893",13.7089870984306
"ENSG00000005955",13.1299738640406
"ENSG00000005961",7.72300966529746
"ENSG00000005981",9.86985105362673
"ENSG00000006007",14.5803982994884
"ENSG00000006015",13.7993162854367
"ENSG00000006016",11.4128412838726
"ENSG00000006025",11.2072091890837
"ENSG00000006042",12.3994705205041
"ENSG00000006047",7.23758283812722
"ENSG00000006062",12.6091417007392
"ENSG00000006071",10.3859746780199
"ENSG00000006074",8.88528109419634
"ENSG00000006075",7.97454843229342
"ENSG00000006114",11.2555047461245
"ENSG00000006118",11.0654018627445
"ENSG00000006125",14.9076489072248
"ENSG00000006128",10.5498607629809
"ENSG00000006194",12.763234142907
"ENSG00000006210",13.3094027016251
"ENSG00000006282",14.6178274286054
"ENSG00000006283",6.50061724396101
"ENSG00000006327",14.3987987183775
"ENSG00000006432",8.82254533884837
"ENSG00000006451",13.1651632925029
"ENSG00000006453",9.93060508470583
"ENSG00000006459",11.2435815787487
"ENSG00000006468",12.7294359344569
"ENSG00000006530",11.9853282710467
"ENSG00000006534",10.8775867024063
"ENSG00000006555",4.91565474323986
"ENSG00000006576",12.3222140885944
"ENSG00000006606",6.1380471645763
"ENSG00000006607",11.5643119192784
"ENSG00000006625",12.7035573026313
"ENSG00000006634",8.94540208663391
"ENSG00000006638",10.5690969818438
"ENSG00000006652",13.4715220132917
"ENSG00000006695",13.1364361146703
"ENSG00000006704",10.5880800852114
"ENSG00000006712",13.7621898467767
"ENSG00000006715",12.8562130516138
"ENSG00000006740",9.90054785084965
"ENSG00000006744",13.6079796426491
"ENSG00000006747",5.65262033740606
"ENSG00000006756",11.6207110894513
"ENSG00000006757",13.5315908475571
"ENSG00000006831",13.2118062031938
"ENSG00000006837",8.61609446138095
"ENSG00000007047",11.7611447941842
"ENSG00000007062",11.2790594741034
"ENSG00000007080",13.8804769104666
"ENSG00000007129",6.1380471645763
"ENSG00000007168",14.85180188617
"ENSG00000007171",6.790123861156
"ENSG00000007202",13.7993162854367
"ENSG00000007237",13.728366875467
"ENSG00000007255",12.627608449398
"ENSG00000007264",7.97454843229342
"ENSG00000007312",11.6660825972126
"ENSG00000007314",9.8064256734851
"ENSG00000007341",11.8104725065478
"ENSG00000007350",12.636753931947
"ENSG00000007376",11.9636874396617
"ENSG00000007384",12.9655032926904
"ENSG00000007392",13.5821746531389
"ENSG00000007402",8.88528109419634
"ENSG00000007516",10.4287243254792
"ENSG00000007520",14.7363655748006
"ENSG00000007541",13.5242176030199
"ENSG00000007545",11.1054793021199
"ENSG00000007866",12.8084505089626
"ENSG00000007908",11.515567585427
"ENSG00000007923",13.7219358319461
"ENSG00000007933",8.88528109419634
"ENSG00000007944",11.2072091890837
